"tra_meas,unit,geo\time"	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
"PAS_CRD,THS_PAS,DK02"	12	12	11	8	9	13	10	10	7	8	8	7
"PAS_CRD,THS_PAS,DK03"	2062	2436	2665	2391	2665	2796	2793	2911	2961	2999	3209	3499
"PAS_CRD,THS_PAS,DK04"	758	786	772	689	869	880	638	588	545	498	535	515
"PAS_CRD,THS_PAS,DK05"	786	984	1043	1117	1323	1378	1301	1381	1377	1417	1493	1493
"PAS_CRD,THS_PAS,EE00"	1533	1723	1804	1341	1381	1908	2202	1959	2020	2161	2215	2635
"PAS_CRD,THS_PAS,EL11"	598	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,EL12"	3803	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,EL13"	12	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,EL14"	267	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,EL21"	126	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,EL22"	3369	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,EL23"	400	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,EL24"	9	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,EL25"	94	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,EL30"	15076	16637	16453	16216	15393	14427	12936	12534	15207	18105	20020	21730
"PAS_CRD,THS_PAS,EL41"	1325	1503	1465	1517	1349	1272	1115	1067	1202	1265	1117	1192
"PAS_CRD,THS_PAS,EL42"	6417	6902	6731	6527	6785	7795	7335	8156	9210	9643	10065	11312
"PAS_CRD,THS_PAS,EL43"	7129	7415	7406	6947	6655	7117	7006	7951	8565	8840	9749	10429
"PAS_CRD,THS_PAS,EL51"	: 	685	641	663	593	505	432	391	407	432	437	503
"PAS_CRD,THS_PAS,EL52"	: 	4395	4358	4208	3969	4008	4075	4111	5021	5397	5735	6347
"PAS_CRD,THS_PAS,EL53"	: 	9	9	9	6	12	11	12	9	11	14	12
"PAS_CRD,THS_PAS,EL54"	: 	141	131	138	120	89	71	64	79	87	97	96
"PAS_CRD,THS_PAS,EL61"	: 	298	295	293	302	361	351	358	402	401	431	450
"PAS_CRD,THS_PAS,EL62"	: 	3422	3373	3105	3021	3145	3202	3571	4081	4227	4738	5184
"PAS_CRD,THS_PAS,EL63"	: 	475	454	411	390	387	441	470	519	550	612	717
"PAS_CRD,THS_PAS,EL64"	: 	13	13	13	5	5	15	20	13	22	16	17
"PAS_CRD,THS_PAS,EL65"	: 	115	81	77	100	107	109	141	242	193	232	284
"PAS_CRD,THS_PAS,ES11"	4128	4655	4311	4084	4337	4429	3856	3580	3738	4022	4517	4837
"PAS_CRD,THS_PAS,ES12"	1348	1556	1524	1310	1350	1334	1306	1034	1063	1118	1282	1405
"PAS_CRD,THS_PAS,ES13"	648	759	857	957	918	1115	1115	973	815	874	777	935
"PAS_CRD,THS_PAS,ES21"	4391	4901	4613	3984	4194	4301	4437	4034	4227	4517	4874	5330
"PAS_CRD,THS_PAS,ES22"	364	490	426	325	283	230	181	150	135	144	: 	: 
"PAS_CRD,THS_PAS,ES24"	430	510	596	529	606	751	550	458	417	424	419	437
"PAS_CRD,THS_PAS,ES30"	45064	51208	50366	47944	49797	49532	45124	39661	41541	46297	49178	52023
"PAS_CRD,THS_PAS,ES41"	446	488	470	357	380	453	372	254	218	212	226	220
"PAS_CRD,THS_PAS,ES51"	34853	38781	37117	34234	35421	38653	38810	38857	40404	41877	46204	49750
"PAS_CRD,THS_PAS,ES52"	13804	14977	15323	13838	14283	14860	13573	14212	14639	15600	18090	20395
"PAS_CRD,THS_PAS,ES53"	28822	29999	29343	27515	27939	30265	30067	30433	31306	32354	36102	38486
"PAS_CRD,THS_PAS,ES61"	20280	22210	20752	18592	18936	20243	19035	18568	19635	20807	23763	26566
"PAS_CRD,THS_PAS,ES62"	1646	1996	1879	1631	1348	1263	1181	1139	1094	1066	1095	1195
"PAS_CRD,THS_PAS,ES64"	303	327	305	286	254	278	306	280	305	310	324	318
"PAS_CRD,THS_PAS,ES70"	30049	30244	29808	26223	27557	31190	29429	29540	31680	32538	36878	39780
"PAS_CRD,THS_PAS,FI19"	1287	1347	1382	1214	1122	1233	1133	932	887	800	658	703
"PAS_CRD,THS_PAS,FI1B"	12142	13145	13435	12602	12861	14871	14851	15271	15945	16418	17181	18981
"PAS_CRD,THS_PAS,FI1C"	389	331	341	292	417	493	548	422	387	348	324	335
"PAS_CRD,THS_PAS,FI1D"	2496	2463	2359	2062	1992	2436	2589	2324	2414	2452	2559	2722
"PAS_CRD,THS_PAS,FI20"	64	63	62	56	49	54	55	52	52	59	60	62
"PAS_CRD,THS_PAS,FIZZ"	0	: 	0	0	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,FR10"	82052	85965	86683	82776	83089	87813	88566	90139	92491	95337	97096	101458
"PAS_CRD,THS_PAS,FRB0"	82	89	94	112	: 	: 	167	180	183	188	200	189
"PAS_CRD,THS_PAS,FRC1"	11	14	14	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,FRD1"	173	195	197	166	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,FRD2"	67	89	74	68	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,FRE1"	925	1037	1012	1134	1149	1143	1366	1646	1572	1520	1772	1899
"PAS_CRD,THS_PAS,FRE2"	1888	2155	2485	2592	2931	3677	3863	3952	4023	4329	3997	3646
"PAS_CRD,THS_PAS,FRF1"	6019	5981	5581	4934	5128	6043	6483	6994	7653	8203	8344	9055
"PAS_CRD,THS_PAS,FRF2"	33	4	3	3	21	51	86	99	96	81	133	: 
"PAS_CRD,THS_PAS,FRF3"	319	314	262	229	233	250	256	234	240	245	223	231
"PAS_CRD,THS_PAS,FRG0"	2350	2537	2687	2574	2969	3172	3562	3853	4096	4322	4729	5442
"PAS_CRD,THS_PAS,FRH0"	1839	1893	1871	1732	1596	1585	1672	1626	1610	1665	1758	1869
"PAS_CRD,THS_PAS,FRI1"	5146	5337	5665	5260	5522	5981	6307	6592	6865	7234	7777	8278
"PAS_CRD,THS_PAS,FRI2"	399	413	400	369	333	335	305	298	291	292	290	309
"PAS_CRD,THS_PAS,FRI3"	306	325	344	301	190	228	235	215	211	216	220	221
"PAS_CRD,THS_PAS,FRJ1"	2471	2436	2458	2367	2114	2430	2432	2639	2660	2718	2894	3106
"PAS_CRD,THS_PAS,FRJ2"	6517	6714	7137	6866	6778	7384	8077	8054	8002	8020	8451	9670
"PAS_CRD,THS_PAS,FRK1"	579	561	540	411	366	389	375	416	416	393	396	384
"PAS_CRD,THS_PAS,FRK2"	7400	7965	8617	8358	8377	8886	8904	9053	8942	9141	10017	10761
"PAS_CRD,THS_PAS,FRL0"	16625	17946	17903	17567	17423	18202	19924	20330	20329	20708	21311	22722
"PAS_CRD,THS_PAS,FRM0"	2386	2497	2650	2780	2827	2934	2988	3211	3338	3440	3657	4010
"PAS_CRD,THS_PAS,FRY1"	1917	2032	2068	1882	1995	2120	1974	2022	2014	2059	2216	2302
"PAS_CRD,THS_PAS,FRY2"	1541	1602	1572	1495	1556	1620	1565	1623	1623	1634	1774	1820
"PAS_CRD,THS_PAS,FRY3"	368	383	384	394	416	431	416	420	430	443	493	489
"PAS_CRD,THS_PAS,FRY4"	1398	1613	1678	1776	1911	2084	1998	1981	1991	2058	2085	2252
"PAS_CRD,THS_PAS,FRY5"	: 	: 	: 	: 	: 	: 	: 	: 	301	303	320	364
"PAS_CRD,THS_PAS,HR03"	: 	: 	2822	2801	3084	3206	3555	3864	4145	4425	5161	6249
"PAS_CRD,THS_PAS,HR04"	: 	: 	2174	1997	2017	2263	2317	2286	2418	2576	2757	3081
"PAS_CRD,THS_PAS,HU11"	8246	8580	8429	8081	8175	8885	8430	8441	9055	10228	11375	13032
"PAS_CRD,THS_PAS,HU32"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	285	318
"PAS_CRD,THS_PAS,IE04"	: 	650	897	802	740	719	677	666	704	685	736	749
"PAS_CRD,THS_PAS,IE05"	: 	6715	6498	5557	4254	4004	3869	3835	3959	3981	4200	4219
"PAS_CRD,THS_PAS,IE06"	: 	23204	23379	20469	18408	18720	19078	20136	21686	24924	27709	29356
"PAS_CRD,THS_PAS,IS00"	2278	2462	2241	1837	2036	2463	2741	3199	3854	4847	6802	8319
"PAS_CRD,THS_PAS,ITC1"	3207	3483	3397	3208	3541	3921	3740	3435	3650	3779	3938	4186
"PAS_CRD,THS_PAS,ITC2"	8	11	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,ITC3"	1069	1106	1191	1119	1272	1394	1369	1295	1259	1354	1261	1241
"PAS_CRD,THS_PAS,ITC4"	36719	39427	34940	32984	34826	36587	36400	35725	36400	38483	40116	43879
"PAS_CRD,THS_PAS,ITF1"	333	365	396	408	456	545	559	542	553	610	569	665
"PAS_CRD,THS_PAS,ITF3"	5018	5723	5629	5289	5536	5728	5758	5400	5891	6132	6754	8552
"PAS_CRD,THS_PAS,ITF4"	2777	3305	3493	3954	5045	5811	5860	5574	5822	6201	6628	6984
"PAS_CRD,THS_PAS,ITF6"	1341	1983	1984	2074	2377	2813	2769	2733	2917	2823	3013	2951
"PAS_CRD,THS_PAS,ITG1"	9928	11186	11064	11444	12453	13300	12427	12722	13854	14038	15284	16749
"PAS_CRD,THS_PAS,ITG2"	5215	5621	5995	6378	6363	6988	6935	7101	7350	7602	7569	8313
"PAS_CRD,THS_PAS,ITH1"	69	74	64	51	54	59	37	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,ITH3"	10530	11972	11853	11472	11958	12978	13635	13230	13444	13678	15009	16429
"PAS_CRD,THS_PAS,ITH4"	665	738	779	692	721	854	877	848	736	738	724	778
"PAS_CRD,THS_PAS,ITH5"	5014	5580	5828	5915	6873	7347	7100	6918	7191	7200	8088	8679
"PAS_CRD,THS_PAS,ITI1"	4522	5617	5866	5676	5773	6403	6322	6435	6838	7201	7480	7871
"PAS_CRD,THS_PAS,ITI2"	: 	: 	: 	118	108	171	196	212	204	280	218	247
"PAS_CRD,THS_PAS,ITI3"	470	488	403	420	504	597	553	494	472	515	477	477
"PAS_CRD,THS_PAS,ITI4"	33804	37753	39558	38172	40486	42146	41201	40655	43234	46034	46936	46692
"PAS_CRD,THS_PAS,LT01"	1799	1714	2042	1306	1370	1709	2206	2657	2940	3333	3811	3759
"PAS_CRD,THS_PAS,LT02"	: 	482	510	562	912	983	960	825	858	895	977	1487
"PAS_CRD,THS_PAS,LU00"	1597	1634	1713	1535	1614	1837	1894	2169	2434	2652	2984	3555
"PAS_CRD,THS_PAS,LV00"	2488	3156	3687	4063	4656	5098	4755	4782	4802	5146	5385	6078
"PAS_CRD,THS_PAS,MT00"	2700	2971	3110	2919	3294	3507	3650	4032	4290	4620	5080	6008
"PAS_CRD,THS_PAS,NL13"	134	140	152	137	124	116	182	177	171	182	154	203
"PAS_CRD,THS_PAS,NL32"	45998	47757	47404	43532	45146	49690	50988	52543	54957	58168	63550	68422
"PAS_CRD,THS_PAS,NL33"	1047	1068	995	927	928	1082	1193	1494	1631	1645	1650	1740
"PAS_CRD,THS_PAS,NL41"	1177	1451	1675	1745	2190	2670	3009	3430	3961	4378	4784	5705
"PAS_CRD,THS_PAS,NL42"	273	138	235	138	232	337	309	433	244	198	180	171
"PAS_CRD,THS_PAS,NO01"	16271	17988	18530	18183	19137	21103	22176	23035	24129	24554	25664	27346
"PAS_CRD,THS_PAS,NO02"	5	3	4	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,NO03"	1159	1357	1803	2441	2990	3005	3412	3695	3544	3146	2612	1944
"PAS_CRD,THS_PAS,NO04"	4245	4590	4830	4731	4816	5394	5818	6178	6151	5911	5592	5610
"PAS_CRD,THS_PAS,NO05"	5505	5818	5918	5601	5941	6595	6953	7478	7509	7534	7444	7597
"PAS_CRD,THS_PAS,NO06"	3253	3539	3618	3419	3505	3902	4194	4343	4393	4328	4398	4401
"PAS_CRD,THS_PAS,NO07"	4275	4534	4602	3874	3983	4217	4374	4508	4676	5051	5205	5449
"PAS_CRD,THS_PAS,NOZZ"	0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,PL21"	2220	3076	2924	2659	2839	2994	3409	3633	3808	4209	4975	5829
"PAS_CRD,THS_PAS,PL22"	1359	1807	2387	2336	2381	2513	2526	2545	2674	3048	3204	3886
"PAS_CRD,THS_PAS,PL41"	644	854	1256	1196	1384	1417	1560	1329	1423	1477	1689	1842
"PAS_CRD,THS_PAS,PL42"	: 	: 	: 	: 	: 	245	348	320	302	405	459	578
"PAS_CRD,THS_PAS,PL51"	866	1271	1478	1324	1599	1609	1942	1873	2038	2269	2372	2806
"PAS_CRD,THS_PAS,PL61"	: 	: 	: 	: 	: 	277	338	341	317	339	334	329
"PAS_CRD,THS_PAS,PL63"	1250	1703	1951	1888	2215	2456	2781	2790	3454	3986	4370	5036
"PAS_CRD,THS_PAS,PL71"	: 	: 	: 	: 	: 	384	463	354	254	288	241	207
"PAS_CRD,THS_PAS,PL82"	: 	: 	: 	: 	: 	491	564	588	599	641	662	640
"PAS_CRD,THS_PAS,PL91"	8117	9228	9480	8333	8728	9351	9605	10694	12287	13804	15703	18689
"PAS_CRD,THS_PAS,PT11"	3403	3987	4535	4509	5280	6005	6053	6374	6933	8089	9384	10799
"PAS_CRD,THS_PAS,PT15"	5075	5470	5447	5062	5337	5617	5674	5983	6169	6439	7633	8729
"PAS_CRD,THS_PAS,PT16"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8
"PAS_CRD,THS_PAS,PT17"	12281	13393	13604	13265	14050	14807	15316	16030	18159	20113	22469	26686
"PAS_CRD,THS_PAS,PT18"	: 	: 	: 	: 	: 	2	1	2	1	0	0	1
"PAS_CRD,THS_PAS,PT20"	1319	1445	1424	1370	1351	1114	1278	1315	1274	1657	2019	2455
"PAS_CRD,THS_PAS,PT30"	2411	2491	2512	2405	2289	2376	2271	2438	2542	2706	3102	3347
"PAS_CRD,THS_PAS,RO11"	226	375	693	860	1089	1005	928	1035	1179	1486	1880	2678
"PAS_CRD,THS_PAS,RO12"	: 	: 	: 	: 	: 	177	176	545	560	613	653	491
"PAS_CRD,THS_PAS,RO21"	: 	: 	: 	: 	: 	294	394	536	576	745	1295	1570
"PAS_CRD,THS_PAS,RO32"	4170	5904	6787	6454	7009	7419	7509	7607	8284	9274	10979	12803
"PAS_CRD,THS_PAS,RO42"	750	908	903	981	1159	1228	1043	755	733	923	1160	1621
"PAS_CRD,THS_PAS,SE11"	19177	19713	19985	18031	18998	21241	21983	22956	24809	25649	27209	29130
"PAS_CRD,THS_PAS,SE12"	1962	2176	2666	2699	2658	2726	2476	2325	1870	2021	2278	2375
"PAS_CRD,THS_PAS,SE21"	732	662	682	609	637	696	707	737	799	840	875	984
"PAS_CRD,THS_PAS,SE22"	2456	2484	2346	2082	2178	2570	2729	2753	2699	2801	2870	2835
"PAS_CRD,THS_PAS,SE23"	4817	5101	5146	4418	4849	5679	5669	5867	5968	6167	6378	6764
"PAS_CRD,THS_PAS,SE31"	113	119	119	85	82	109	100	110	: 	: 	: 	: 
